snp	 s0	s1	s2	s3	
4	17	73	122	167	
4	17	73	122	167	
4	19	73	122	167	
4	20	73	122	167	
4	20	73	122	167	
4	20	73	122	167	
4	30	73	122	167	
4	21	73	122	167	
4	23	73	122	167	
4	20	73	122	167	
4	26	73	122	167	
4	35	73	122	167	
4	35	73	122	167	
4	28	73	122	167	
4	26	73	122	167	
4	12	73	122	167	
4	7	73	122	167	
4	16	73	122	167	
4	19	73	122	167	
4	37	73	122	167	
4	31	73	113	167	
4	31	73	113	167	
4	33	73	113	167	
4	31	73	113	167	
4	33	73	113	167	
4	26	73	113	167	
4	26	73	113	167	
4	33	73	122	167	
4	26	73	122	167	
4	26	73	122	167	
4	28	73	122	167	
4	30	73	122	167	
4	37	73	122	167	
4	37	73	122	167	
4	25	73	122	167	
4	39	73	122	167	
4	37	73	122	167	
4	30	73	122	167	
4	25	73	131	167	
4	17	73	132	167	
4	28	73	128	167	
4	18	73	128	167	
4	17	73	133	167	
4	19	73	133	167	
4	16	73	138	167	
4	26	73	138	167	
4	33	73	138	167	
4	39	73	135	167	
4	39	73	135	167	
4	39	73	138	167	
4	39	73	138	167	
4	39	73	138	167	
4	39	73	133	167	
4	18	73	134	167	
4	40	73	134	167	
4	31	73	132	167	
4	40	78	141	167	
4	40	73	133	167	
4	40	73	133	167	
4	40	73	130	167	
4	40	73	130	167	
4	35	73	135	167	
4	35	73	141	167	
4	33	73	133	167	
4	31	73	135	167	
4	31	73	138	167	
4	18	73	138	167	
4	19	73	122	167	
4	20	78	122	167	
4	20	78	122	167	
4	20	78	122	167	
4	18	78	122	167	
4	17	78	122	167	
4	8	78	122	167	
4	16	78	122	167	
4	16	73	122	167	
4	16	73	122	167	
4	12	73	122	167	
4	8	73	122	167	
4	17	73	131	167	
4	24	73	122	167	
4	23	78	122	167	
4	19	78	133	167	
4	12	78	132	167	
4	7	78	122	167	
4	7	78	122	167	
4	19	78	122	167	
4	28	78	124	167	
4	31	73	130	167	
4	31	78	134	167	
4	21	73	114	167	
4	26	73	114	167	
4	16	73	114	167	
4	28	73	115	167	
4	39	73	115	167	
4	35	73	115	167	
4	40	73	122	167	
4	39	73	122	167	
4	33	73	131	167	
4	33	73	131	167	
4	40	73	122	167	
4	44	73	115	167	
4	31	73	115	167	
4	30	73	115	167	
4	35	73	132	167	
4	33	73	132	167	
4	31	73	131	167	
4	31	73	135	167	
4	37	73	135	167	
4	33	73	130	167	
4	23	78	133	167	
4	23	78	130	167	
4	30	78	130	167	
4	30	78	130	167	
4	19	78	130	167	
4	18	78	134	167	
4	7	78	134	167	
4	7	78	141	167	
4	16	73	124	167	
4	25	78	126	167	
4	17	78	126	167	
4	25	78	112	167	
4	21	78	113	167	
4	16	78	113	167	
4	8	78	113	167	
4	8	78	113	167	
4	35	78	113	167	
4	36	78	114	167	
4	35	78	113	167	
4	40	78	113	167	
4	39	78	113	167	
4	33	78	112	167	
4	31	78	113	167	
4	31	78	113	167	
4	31	78	113	167	
4	24	78	113	167	
